provider,region,instance_type,product_name,hourly_price_usd,gpu_type
Azure,australiaeast,Standard_NC24r_Promo,Virtual Machines NC Promo Series,3.006,Other
Azure,koreacentral,Standard_NC6s_v3,Virtual Machines NCSv3 Series Windows,1.804,Other
Azure,usgovvirginia,Standard_NC16as_T4_v3,Virtual Machines NCasT4 v3 Series,1.505,Other
Azure,italynorth,Standard_NC48ads_A100_v4,NCads A100 v4 Series Windows,2.185812,A100
Azure,usgovarizona,Standard_NV8as_v4,Virtual Machines NVasv4 Series Windows,0.17556,Other
Azure,northeurope,Standard_NV48s_v3,Virtual Machines NVSv3 Series Windows,2.819,Other
Azure,mexicocentral,Standard_NV16as_v4,Virtual Machines NVasv4 Series Windows,0.325433,Other
Azure,southcentralus,Standard_NC8as_T4_v3,Virtual Machines NCasT4 v3 Series Windows,0.508,Other
Azure,spaincentral,Standard_ND96is_noIB_H100_v5,Virtual Machines NDsH100v5 Series,21.258283,H100
Azure,northeurope,Standard_NC24s_v3,Virtual Machines NCSv3 Series Windows,5.729,Other
Azure,polandcentral,Standard_NC64as_T4_v3,Virtual Machines NCasT4 v3 Series,1.647547,Other
Azure,eastus2,Standard_ND96is_MI300X_v5,Virtual Machines NDMI300Xv5 Srs,8.8704,MI300X
Azure,uksouth,Standard_NV72ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,11.462,A10
Azure,southeastus,Standard_ND96isf_H100_v5,Virtual Machines NDsrf H100 v5 Series Windows,22.07436,H100
Azure,westeurope,Standard_NP40s,Virtual Machines NP Series,1.716,Other
Azure,eastus,Standard_ND96isr_H100_v5,Virtual Machines NDsr H100 v5 Series,98.32,H100
Azure,uksouth,Standard_NC12_Promo,Virtual Machines NC Promo Series,1.129,Other
Azure,canadacentral,Standard_ND96ams_A100_v4,Virtual Machines NDamsr A100 v4 Series Windows,17.496,A100
Azure,polandcentral,Standard_ND96is_MI300X_v5,Virtual Machines NDMI300Xv5 Srs Windows,78.336,MI300X
Azure,jioindiacentral,Standard_NV18ads_A10_v5,Virtual Machines NVadsA10v5 Series Windows,3.068,A10
Azure,westeurope,Standard_NV12ads_V710_v5,Virtual Machines NVadsV710v5 Series Windows,0.741,Other
